window_id,session_id,num_frames,posture_shoulder_tilt_mean,posture_shoulder_tilt_std,posture_body_lean_mean,posture_body_lean_std,posture_head_height_mean,posture_head_height_std,posture_torso_height_mean,posture_torso_height_std,hands_left_height_mean,hands_right_height_mean,hands_spread_mean,hands_spread_std,hands_left_movement_mean,hands_right_movement_mean,hands_left_visible_ratio,hands_right_visible_ratio,sway_x_std,sway_y_std,sway_crossing_count,movement_path_length,movement_net_displacement,movement_displacement_ratio,posture_label,hands_label,sway_label,movement_label
42,0,90,-0.0006284680631425627,0.003401487781544528,0.030751256761474815,0.18569818220798365,0.16350655489497715,0.0007749973909899563,0.38049011793401505,0.0017661716587936797,0.28720408115122054,0.28188043269846175,0.10645330926590124,0.003028674463587142,0.0003958837878155568,0.000770468205559301,0.0,0.0,0.0008045580060113133,0.001765193930888964,2,0.016628773822802312,0.003478814433654355,0.20919192712556892,low,low,low,low
43,0,90,0.0011040230592091966,0.0011747888700778138,0.07003562824092328,0.06891449679927326,0.1644256172908677,0.004479203976158489,0.37852878206306034,0.0009397363012366612,0.288825249671936,0.293389669391844,0.11090445341488894,0.0030215993614669057,0.00028961166012616673,0.00043564184959688656,0.0,0.0,0.0007811216749555352,0.0014464304725760268,1,0.014641786608218958,0.005800624477921016,0.39614211646471315,low,low,low,low
44,0,90,0.0012011004818810345,0.0008982228282577198,-0.0017277577372978173,0.10574515381021855,0.1759067932764689,0.00264115031336692,0.3746845775180393,0.0014910967479117192,0.2853524019320806,0.29819391204251183,0.11522356673043858,0.003390494350521376,0.00041302483195054595,0.0004968561998337978,0.0,0.0,0.0007786162872834851,0.0017170561474514944,2,0.014935940789055385,0.004428069625400074,0.2964509057065163,low,low,low,low
45,0,90,0.0018929349051581426,0.0007195315571111419,0.02122138402297994,0.09061181933348432,0.1675653335120943,0.0036352675708898933,0.3713315152459674,0.002593371977833657,0.2793531146314409,0.28578283455636766,0.11179781797520207,0.010072305164766655,0.002506079660687232,0.0012310500150618264,0.0,0.0,0.0009520481040127581,0.0025507991628500363,1,0.026723643914570695,0.002806274120867704,0.10500697894566442,low,low,low,low
46,0,90,0.0032506773869196612,0.0023804740818172986,0.3277306585244556,0.18798144517097337,0.16906182368596395,0.0017793063038032565,0.3687826343708568,0.0014612566403199262,0.28333596057362026,0.2851213173733817,0.108802923511087,0.0012570252220700294,0.00042866139661552183,0.0006672263010896424,0.0,0.0,0.00031027163608986046,0.0006984826893956287,4,0.01695537752095696,0.001768418851057395,0.10429225516309402,low,low,low,low
47,0,90,0.004662228624025986,0.0018697209355392765,0.2212076453515426,0.06436810325155402,0.17254718393087387,0.007471651885112336,0.37296585357851453,0.0016655457963582218,0.2824548151757982,0.28864451613691117,0.10893466944694183,0.0022625928120217254,0.00025113389128529466,0.0003918371991902396,0.0,0.0,0.00043748399051546865,0.0018399196141595793,2,0.015508107030461803,0.00451850892066619,0.2913455243935889,low,low,low,low
48,0,90,0.004571546448601615,0.0004753231545366019,-0.02089115211738822,0.08075215734021701,0.15751706494225395,0.002004223881788245,0.3710767169793447,0.0008891345184087514,0.28546004692713417,0.2897588557667202,0.10854574602150362,0.0018147473843712029,0.00030634325840399177,0.0009245454038727606,0.0,0.0,0.00018327709576856574,0.0006313453882256763,1,0.011589526584036027,0.0008724194007236301,0.0752700400968183,low,low,low,low
49,0,90,0.005132642057206897,0.000490931311686829,0.16011379712441548,0.034422205452545714,0.17158547126584583,0.007067983270168131,0.37340605821874406,0.0016949311325579694,0.2824734565284517,0.2905735363562902,0.1148300904779859,0.004324603707162666,0.00038397303928497514,0.0006097763023840476,0.0,0.0,0.0005139681892439061,0.0012020010204703163,1,0.015776243819444407,0.0016069698050972519,0.10185364588945302,low,low,low,low
50,0,90,0.003753220041592915,0.0009519904904235741,0.15046067524558324,0.04415873283338217,0.17871785362561543,0.001556582541509172,0.3731911167502403,0.0012822271705287566,0.2799123124943839,0.285466065009435,0.10835878779433586,0.0015737157143686266,0.00022132593584734463,0.0004709386183251512,0.0,0.0,0.0001625115832817919,0.0010057295865312683,5,0.011359904787272258,0.000853368636568617,0.07511449594442997,low,low,low,low
51,0,90,0.006739993558989631,0.004289493378202039,0.5341848132682389,0.2320805733844038,0.17095558808909525,0.0028310072565307723,0.37062618517213397,0.0012004388725646502,0.2816072507037057,0.28814519908693104,0.11123822764397785,0.002701767406981734,0.0003981969966967571,0.000646390359169301,0.0,0.0,0.0006903686273474734,0.002192286362561929,1,0.024753563336123358,0.003625316876926957,0.14645044744686225,low,low,low,low
52,0,90,0.00997603403197395,0.001533818217836441,0.7966864508886911,0.14576190776357517,0.17152789880832037,0.0022101215179598597,0.3743332558208042,0.0012225870929871384,0.28513078192869823,0.2907021856970257,0.11270122561197658,0.002521695301776895,0.0004962427057477437,0.0005446952974297556,0.0,0.0,0.000246428955573427,0.0019315789130500095,5,0.02135777227339236,0.0034544147540639374,0.16173283322877438,low,low,low,low
53,0,90,0.007752039035161341,0.0006312993458800647,0.36049564541899276,0.03650500175010471,0.17202765809165108,0.0008147788752972279,0.3722365356153912,0.0017145389693378548,0.2852115872833464,0.2886696639988158,0.11506081693827619,0.002304416375590332,0.00016307008237308418,0.000332100302340461,0.0,0.0,0.00033496354037983986,0.0011060729226676236,1,0.013677100836078178,0.0015418523450491607,0.11272415399821287,low,low,low,low
